room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13198983,33598171,Private room,,24,0,,3,1.0,30.0,1.0,56.156836,10.206604,2016-10-29 01:09:01.719506
15521269,89449740,Entire home/apt,,24,1,,2,1.0,82.0,1.0,56.172742,10.217229,2016-10-29 01:08:44.425126
13341800,15702274,Entire home/apt,,24,0,,4,2.0,106.0,1.0,56.158158,10.190614,2016-10-29 01:08:28.369195
7528644,39453732,Entire home/apt,,24,12,4.5,3,1.0,83.0,2.0,56.144232,10.204106,2016-10-29 01:08:23.102960
13654934,47814769,Entire home/apt,,1,0,,8,4.0,97.0,5.0,56.112649,10.19834,2016-10-29 01:08:07.404715
13518374,16162128,Private room,,24,0,,2,1.0,42.0,1.0,56.148909,10.194345,2016-10-29 01:07:46.374383
6530993,34157415,Private room,,24,11,5.0,2,1.0,45.0,5.0,56.154144,10.195362,2016-10-29 01:07:21.193599
13809120,81063820,Private room,,24,6,4.5,4,1.0,49.0,,56.159834,10.213257,2016-10-29 01:07:17.398657
7257248,27786886,Private room,,24,0,,1,1.0,33.0,1.0,56.159644,10.209098,2016-10-29 01:07:14.723231
14005557,83706484,Entire home/apt,,24,3,4.5,4,2.0,74.0,1.0,56.162512,10.209576,2016-10-29 01:07:10.585102
6455201,3833465,Entire home/apt,,24,2,,3,1.0,61.0,1.0,56.146584,10.19131,2016-10-29 01:07:01.217039
9583567,46371657,Entire home/apt,,24,30,4.5,4,2.0,99.0,1.0,56.146965,10.197102,2016-10-29 01:06:33.142256
3758618,19237859,Private room,,6,49,4.5,2,1.0,33.0,1.0,56.154386,10.158929,2016-10-29 01:06:16.462531
9399448,48748387,Entire home/apt,,24,0,,4,2.0,83.0,1.0,56.151942,10.205367,2016-10-29 01:05:57.449646
6585479,34447414,Private room,,24,0,,1,1.0,30.0,1.0,56.14919,10.199223,2016-10-29 01:05:55.570733
14067309,38804552,Entire home/apt,,24,14,5.0,6,2.0,57.0,1.0,56.146628,10.1866,2016-10-29 01:05:30.109790
13430134,62964244,Private room,,6,10,5.0,2,1.0,38.0,1.0,56.156839,10.179375,2016-10-29 01:05:19.914069
6667531,26165474,Entire home/apt,,24,4,4.5,4,1.0,53.0,3.0,56.162972,10.214131,2016-10-29 01:05:12.804947
6475671,33830632,Entire home/apt,,24,1,,4,2.0,75.0,2.0,56.143252,10.191493,2016-10-29 01:05:04.454749
9213520,47913651,Entire home/apt,,24,0,,2,1.0,75.0,5.0,56.151096,10.194366,2016-10-29 01:04:46.663959
